***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "18-07-09-03-12-2017"
}
---SESSION HEADER---
Time; Position; Rotation.X; Rotation.Y; Rotation.Virtualizer; Rotation.Controller.x; Rotation.Controller.y; Height.Virtualizer; FPS; Input;
65230.9801;(-15.8044, 2.5100, -33.4400);284.6071;354.4504;264.3750;288.0716;353.7560;17.5260;89.7316;;
65230.9912;(-15.8044, 2.5100, -33.4400);284.5962;354.4354;264.3750;288.0841;353.7505;17.5260;89.7662;;
65231.0027;(-15.8044, 2.5100, -33.4400);284.6018;354.4308;264.3750;288.0886;353.7540;17.5260;89.6896;;
65231.0137;(-15.8044, 2.5100, -33.4400);284.5905;354.4232;264.3750;288.0829;353.7533;17.5260;89.6080;;
65231.0247;(-15.8044, 2.5100, -33.4400);284.5792;354.4052;264.3750;288.0720;353.7525;17.5260;89.4236;;
65231.0357;(-15.8044, 2.5100, -33.4400);284.5757;354.4102;264.3750;288.0551;353.7507;17.5260;89.5709;;
65231.0472;(-15.8044, 2.5100, -33.4400);284.5747;354.4078;264.3750;288.0446;353.7431;17.5260;89.6549;;
65231.0587;(-15.8044, 2.5100, -33.4400);284.5719;354.3880;264.3750;288.0261;353.7401;17.5260;89.5712;;
65231.0692;(-15.8044, 2.5100, -33.4400);284.5654;354.3680;264.3750;288.0205;353.7431;17.5260;89.4482;;
65231.0807;(-15.8044, 2.5100, -33.4400);284.5612;354.3539;264.3750;288.0094;353.7601;17.5260;89.6598;;
65231.0928;(-15.8044, 2.5100, -33.4400);284.5398;354.3357;264.3750;288.0199;353.7549;17.5260;89.5435;;
65231.1038;(-15.8044, 2.5100, -33.4400);284.5334;354.3205;264.3750;288.0170;353.7577;17.5260;88.8543;;
65231.1153;(-15.8044, 2.5100, -33.4400);284.5313;354.2928;264.3750;288.0209;353.7372;17.5260;89.0356;;
65231.1263;(-15.8044, 2.5100, -33.4400);284.5340;354.3051;264.3750;288.0138;353.7267;17.5260;88.9294;;
65231.1374;(-15.8044, 2.5100, -33.4400);284.5284;354.3348;264.3750;288.0005;353.7179;17.5260;88.8376;;
65231.1489;(-15.8044, 2.5100, -33.4400);284.5123;354.3453;264.3750;287.9713;353.7115;17.5260;89.2185;;
65231.1599;(-15.8044, 2.5100, -33.4400);284.5043;354.3783;264.3750;287.9365;353.6888;17.5260;89.0688;;
65231.1709;(-15.8044, 2.5100, -33.4400);284.4882;354.3835;264.3750;287.9029;353.6357;17.5260;89.0973;;
65231.1819;(-15.8044, 2.5100, -33.4400);284.4618;354.3932;264.3750;287.8762;353.5450;17.5260;89.3732;;
65231.1935;(-15.8044, 2.5100, -33.4400);284.4442;354.4158;264.3750;287.8511;353.4687;17.5260;89.2710;;
65231.2045;(-15.8044, 2.5100, -33.4400);284.4393;354.4262;264.3750;287.8220;353.4125;17.5260;89.1435;;
65231.2160;(-15.8044, 2.5100, -33.4400);284.4281;354.4365;264.3750;287.8033;353.3962;17.5260;89.3286;;
65231.2270;(-15.8044, 2.5100, -33.4400);284.4077;354.4414;264.3750;287.7883;353.3850;17.5260;89.1336;;
65231.2406;(-15.8044, 2.5100, -33.4400);284.3978;354.4275;264.3750;287.7968;353.4180;17.5260;89.1580;;
65231.2516;(-15.8044, 2.5100, -33.4400);284.3762;354.4301;264.3750;287.8123;353.4364;17.5260;87.2682;;
65231.2631;(-15.8044, 2.5100, -33.4400);284.3551;354.4328;264.3750;287.8300;353.4422;17.5260;87.6489;;
65231.2741;(-15.8044, 2.5100, -33.4400);284.3359;354.4323;264.3750;287.8467;353.4380;17.5260;87.6827;;
65231.2851;(-15.8044, 2.5100, -33.4400);284.3259;354.4442;264.3750;287.8557;353.4467;17.5260;87.8816;;
65231.2967;(-15.8044, 2.5100, -33.4400);284.3125;354.4602;264.3750;287.8682;353.4513;17.5260;88.2032;;
65231.3077;(-15.8044, 2.5100, -33.4400);284.3108;354.4701;264.3750;287.8703;353.4484;17.5260;88.2351;;
